822,Altre Tasse,,819,1514,1515,2,5,consuntivo-entrate-cassa-imposte-e-tasse-tasse-altre-tasse
821,Occupazione suolo pubblico,,819,1512,1513,2,5,consuntivo-entrate-cassa-imposte-e-tasse-tasse-occupazione-suolo-pubblico
820,Rifiuti,,819,1510,1511,2,5,consuntivo-entrate-cassa-imposte-e-tasse-tasse-rifiuti
823,Altri tributi,"",814,1499,1500,2,4,consuntivo-entrate-cassa-imposte-e-tasse-tributi-speciali
856,Prestiti,,813,1564,1573,2,3,consuntivo-entrate-cassa-prestiti
1535,Anticipazioni di cassa,,856,1565,1566,2,4,consuntivo-entrate-cassa-prestiti-anticipazioni-di-cassa
1537,Assunzioni di mutui e prestiti,,856,1567,1568,2,4,consuntivo-entrate-cassa-prestiti-assunzioni-di-mutui-e-prestiti
1538,Emissioni di prestiti obbligazionari,,856,1569,1570,2,4,consuntivo-entrate-cassa-prestiti-emissioni-di-prestiti-obbligazionari
1536,Finanziamenti a breve termine,,856,1571,1572,2,4,consuntivo-entrate-cassa-prestiti-finanziamenti-a-breve-termine
847,Vendite e trasferimenti di capitali,"",813,1576,1593,2,3,consuntivo-entrate-cassa-vendite-e-trasferimenti-di-capitali
848,Alienazione del patrimonio,,847,1577,1578,2,4,consuntivo-entrate-cassa-vendite-e-trasferimenti-di-capitali-alienazione-del-patrimonio
855,Riscossioni di crediti,,847,1591,1592,2,4,consuntivo-entrate-cassa-vendite-e-trasferimenti-di-capitali-riscossioni-di-crediti
851,Trasferimenti da altri enti pubblici,"",847,1579,1580,2,4,consuntivo-entrate-cassa-vendite-e-trasferimenti-di-capitali-trasferimenti-da-altri-enti-pubblici
850,Trasferimenti dalla Regione,"",847,1581,1582,2,4,consuntivo-entrate-cassa-vendite-e-trasferimenti-di-capitali-trasferimenti-dalla-regione
849,Trasferimenti dallo Stato,"",847,1583,1584,2,4,consuntivo-entrate-cassa-vendite-e-trasferimenti-di-capitali-trasferimenti-dallo-stato
852,Trasferimenti di capitali da privati,,847,1585,1590,2,4,consuntivo-entrate-cassa-vendite-e-trasferimenti-di-capitali-trasferimenti-di-capitali-da-privati
853,Permessi di costruire  e sanzioni,,852,1586,1587,2,5,consuntivo-entrate-cassa-vendite-e-trasferimenti-di-capitali-trasferimenti-di-capitali-da-privati-permessi-di-costruire-e-sanzioni
854,Trasferimenti di capitali (altro ),,852,1588,1589,2,5,consuntivo-entrate-cassa-vendite-e-trasferimenti-di-capitali-trasferimenti-di-capitali-da-privati-trasferimenti-di-capitali-altro
723,Riscossioni in conto competenza,,677,1301,1398,2,2,consuntivo-entrate-riscossioni-in-conto-competenza
734,Contributi e trasferimenti pubblici,,723,1322,1329,2,3,consuntivo-entrate-riscossioni-in-conto-competenza-contributi-pubblici
737,Contributi e trasferimenti da altri enti pubblici,,734,1327,1328,2,4,consuntivo-entrate-riscossioni-in-conto-competenza-contributi-pubblici-contributi-da-altri-enti-pubblici
736,Contributi e trasferimenti dalla Regione,,734,1325,1326,2,4,consuntivo-entrate-riscossioni-in-conto-competenza-contributi-pubblici-contributi-dalla-regione
735,Contributi e trasferimenti dallo Stato,,734,1323,1324,2,4,consuntivo-entrate-riscossioni-in-conto-competenza-contributi-pubblici-contributi-dallo-stato
738,Entrate extratributarie,,723,1330,1367,2,3,consuntivo-entrate-riscossioni-in-conto-competenza-entrate-extratributarie
756,Altre entrate extratributarie,,738,1365,1366,2,4,consuntivo-entrate-riscossioni-in-conto-competenza-entrate-extratributarie-altre-entrate-extratributarie
754,Interessi su anticipazioni o crediti,,738,1361,1362,2,4,consuntivo-entrate-riscossioni-in-conto-competenza-entrate-extratributarie-interessi-su-anticipazioni-o-crediti
751,Proventi di beni dell'ente,,738,1355,1360,2,4,consuntivo-entrate-riscossioni-in-conto-competenza-entrate-extratributarie-proventi-di-beni-dellente
753,Altri proventi,,751,1358,1359,2,5,consuntivo-entrate-riscossioni-in-conto-competenza-entrate-extratributarie-proventi-di-beni-dellente-altri-proventi
752,Canone Occupazione Spazi e Aree Pubbliche,,751,1356,1357,2,5,consuntivo-entrate-riscossioni-in-conto-competenza-entrate-extratributarie-proventi-di-beni-dellente-canone-occupazione-spazi-e-aree-pubbliche
739,Servizi pubblici,,738,1331,1354,2,4,consuntivo-entrate-riscossioni-in-conto-competenza-entrate-extratributarie-servizi-pubblici
750,Altri servizi,,739,1352,1353,2,5,consuntivo-entrate-riscossioni-in-conto-competenza-entrate-extratributarie-servizi-pubblici-altri-servizi
740,Amministrazione,,739,1332,1333,2,5,consuntivo-entrate-riscossioni-in-conto-competenza-entrate-extratributarie-servizi-pubblici-amministrazione
744,Cultura,,739,1340,1341,2,5,consuntivo-entrate-riscossioni-in-conto-competenza-entrate-extratributarie-servizi-pubblici-cultura
741,Giustizia,,739,1334,1335,2,5,consuntivo-entrate-riscossioni-in-conto-competenza-entrate-extratributarie-servizi-pubblici-giustizia
743,Istruzione ,,739,1338,1339,2,5,consuntivo-entrate-riscossioni-in-conto-competenza-entrate-extratributarie-servizi-pubblici-istruzione
742,Polizia locale,,739,1336,1337,2,5,consuntivo-entrate-riscossioni-in-conto-competenza-entrate-extratributarie-servizi-pubblici-polizia-locale
