slug,denominazione,slug_parent
consuntivo-riassuntivo-utilizzo-avanzo-di-amministrazione-esercizio-precedente-estinzione-anticipata-dei-prestiti,Estinzione anticipata dei prestiti,consuntivo-riassuntivo-utilizzo-avanzo-di-amministrazione-esercizio-precedente
consuntivo-riassuntivo-riaccertamento-dei-residui,Riaccertamento dei residui,consuntivo-riassuntivo
consuntivo-riassuntivo-riaccertamento-dei-residui-eventuale-disavanzo-da-riaccertamento-dei-residui,Eventuale disavanzo da riaccertamento dei residui,consuntivo-riassuntivo-riaccertamento-dei-residui
consuntivo-riassuntivo-riaccertamento-dei-residui-eventuale-disavanzo-da-riaccertamento-dei-residui-di-cui-di-parte-corrente,Eventuale disavanzo da riaccertamento dei residui di cui di parte corrente,consuntivo-riassuntivo-riaccertamento-dei-residui
consuntivo-riassuntivo-riaccertamento-dei-residui-eventuale-disavanzo-da-riaccertamento-dei-residui-di-cui-di-parte-capitale,Eventuale disavanzo da riaccertamento dei residui di cui di parte capitale,consuntivo-riassuntivo-riaccertamento-dei-residui
consuntivo-riassuntivo-debiti-fuori-bilancio,Debiti fuori bilancio,consuntivo-riassuntivo
consuntivo-riassuntivo-debiti-fuori-bilancio-sentenze-esecutive,Sentenze esecutive,consuntivo-riassuntivo-debiti-fuori-bilancio
consuntivo-riassuntivo-debiti-fuori-bilancio-copertura-di-disavanzi-di-consorzi-aziende-speciali-e-di-istituzioni,"Copertura di disavanzi di consorzi, aziende speciali e di istituzioni",consuntivo-riassuntivo-debiti-fuori-bilancio
consuntivo-riassuntivo-debiti-fuori-bilancio-ricapitalizzazione,Ricapitalizzazione,consuntivo-riassuntivo-debiti-fuori-bilancio
consuntivo-riassuntivo-debiti-fuori-bilancio-procedure-espropriative-o-di-occupazione-d-urgenza-per-opere-di-pubblica-utilita,Procedure espropriative o di occupazione d'urgenza per opere di pubblica utilità,consuntivo-riassuntivo-debiti-fuori-bilancio
consuntivo-riassuntivo-debiti-fuori-bilancio-acquisizione-di-beni-e-servizi,Acquisizione di Beni e Servizi,consuntivo-riassuntivo-debiti-fuori-bilancio
consuntivo-riassuntivo-esecuzione-forzata,Esecuzione forzata,consuntivo-riassuntivo
consuntivo-riassuntivo-esecuzione-forzata-procedimenti-di-esecuzione-forzata,Procedimenti di esecuzione forzata,consuntivo-riassuntivo-esecuzione-forzata
